gender,sleep_hours,doom_scrolling_time,productive_screen_time,study_hours,medical_issue,drug_addiction,math_score,physics_score,chemistry_score,biology_score,english_score,performance
male,7.8,4.0,1.6,0.0,no,no,14,0,61,61,86,Just Pass
female,8.0,2.3,2.0,2.1,no,no,81,35,86,31,27,Decent
male,7.8,3.4,2.3,2.3,no,no,24,19,34,75,25,Just Pass
male,7.1,4.1,4.1,1.5,no,no,11,78,50,60,90,Decent
male,6.7,1.8,4.2,2.3,no,no,100,79,87,86,72,Good
female,6.8,2.8,7.1,5.1,no,no,80,67,94,100,23,Nice
male,6.7,2.9,4.8,1.6,no,no,10,92,37,94,71,Decent
male,8.7,4.7,0.0,4.1,no,no,6,18,32,59,82,Just Pass
male,7.9,0.9,4.5,1.1,no,no,68,52,73,96,34,Decent
female,2.6,2.9,1.1,2.6,no,no,46,63,85,7,30,Just Pass
male,8.0,6.8,2.1,3.6,no,no,2,2,39,0,15,Worst
male,7.3,5.3,2.4,1.0,no,no,15,30,28,46,56,Just Pass
male,7.0,5.7,2.7,0.4,no,no,83,48,80,88,57,Nice
male,6.4,3.0,1.2,4.0,no,no,63,42,74,76,12,Decent
female,8.7,3.6,4.4,5.2,no,no,57,61,51,43,80,Decent
male,8.4,5.0,1.2,2.8,no,no,22,57,2,63,62,Just Pass
female,5.8,6.1,4.7,2.1,no,no,11,34,70,1,1,Worst
female,7.6,0.0,8.5,3.3,no,no,62,32,57,69,77,Decent
female,5.5,0.4,1.3,3.1,no,no,100,23,17,33,71,Just Pass
male,4.9,5.6,3.4,3.5,no,no,5,53,62,5,44,Just Pass
female,6.1,2.4,0.0,0.0,no,no,93,11,26,18,84,Just Pass
male,8.3,1.7,3.4,0.9,no,no,23,91,36,75,35,Decent
female,8.4,0.5,5.3,1.3,no,no,50,93,57,65,16,Decent
female,7.8,1.9,5.4,3.3,no,no,17,47,84,15,80,Just Pass
female,8.1,0.2,4.2,3.4,no,no,74,99,43,56,76,Decent
female,7.8,7.2,5.8,4.3,no,no,51,56,11,78,100,Decent
female,6.0,3.0,9.1,3.5,no,no,82,31,58,100,39,Decent
female,7.6,2.9,7.4,0.4,no,no,59,66,10,92,44,Decent
female,8.2,4.2,3.0,5.9,no,no,50,78,80,11,57,Decent
female,8.1,4.9,1.1,5.5,no,no,78,13,100,26,91,Decent
male,8.8,4.9,3.2,0.5,no,no,0,25,59,14,35,Worst
male,8.1,5.1,2.1,3.7,no,no,55,1,28,42,78,Just Pass
female,7.5,1.7,4.9,1.8,no,no,19,39,26,72,23,Just Pass
female,8.6,2.4,1.6,3.3,no,no,49,39,29,21,46,Just Pass
female,7.0,4.5,3.9,5.1,no,no,88,72,31,100,24,Decent
male,5.7,1.9,5.7,7.3,no,no,39,44,56,100,100,Decent
female,6.8,3.0,3.8,4.5,no,no,100,14,20,52,28,Just Pass
male,5.9,3.8,2.1,3.6,no,no,92,35,93,62,45,Decent
male,6.0,4.6,6.3,2.3,no,no,45,86,92,58,12,Decent
male,6.8,0.0,0.2,3.4,no,no,10,49,71,68,100,Decent
male,5.8,4.4,3.3,5.7,no,no,89,52,17,97,73,Decent
male,6.5,2.5,3.9,2.9,no,no,96,54,88,28,100,Nice
female,4.2,4.4,4.0,1.2,no,no,12,70,1,63,0,Worst
